date,open,high,low,close,adjusted,volume
2011-04-07,925000 ,935000 ,905000 ,909000 ,909000 ,436076 
2011-04-08,911000 ,914000 ,895000 ,898000 ,898000 ,521299 
2011-04-11,898000 ,907000 ,888000 ,894000 ,894000 ,412638 
2011-04-12,886000 ,890000 ,882000 ,882000 ,882000 ,316036 
2011-04-13,887000 ,901000 ,880000 ,901000 ,901000 ,332860 
2011-04-14,900000 ,900000 ,884000 ,900000 ,900000 ,505624 
2011-04-15,898000 ,899000 ,882000 ,888000 ,888000 ,446008 
2011-04-18,891000 ,892000 ,866000 ,867000 ,867000 ,549291 
2011-04-19,853000 ,875000 ,853000 ,875000 ,875000 ,462304 
2011-04-20,889000 ,916000 ,886000 ,916000 ,916000 ,641519 
2011-04-21,930000 ,937000 ,918000 ,928000 ,928000 ,541665 
2011-04-22,924000 ,927000 ,902000 ,904000 ,904000 ,377225 
2011-04-25,901000 ,911000 ,889000 ,889000 ,889000 ,287621 
2011-04-26,899000 ,899000 ,880000 ,897000 ,897000 ,384355 
2011-04-27,917000 ,927000 ,911000 ,924000 ,924000 ,528108 
2011-04-28,924000 ,927000 ,899000 ,900000 ,900000 ,416427 
2011-04-29,901000 ,908000 ,880000 ,893000 ,893000 ,429874 
2011-05-02,910000 ,937000 ,904000 ,932000 ,932000 ,651726 
2011-05-03,936000 ,940000 ,922000 ,938000 ,938000 ,507510 
2011-05-04,930000 ,934000 ,900000 ,915000 ,915000 ,515717 
2011-05-05,930000 ,934000 ,900000 ,915000 ,915000 ,515717 
2011-05-06,899000 ,914000 ,895000 ,899000 ,899000 ,473222 
2011-05-09,908000 ,911000 ,891000 ,891000 ,891000 ,271573 
2011-05-10,908000 ,911000 ,891000 ,891000 ,891000 ,271573 
2011-05-11,889000 ,895000 ,882000 ,892000 ,892000 ,447932 
2011-05-12,886000 ,901000 ,883000 ,885000 ,885000 ,552942 
2011-05-13,896000 ,924000 ,890000 ,916000 ,916000 ,669154 
2011-05-16,917000 ,919000 ,898000 ,901000 ,901000 ,322905 
2011-05-17,897000 ,898000 ,889000 ,890000 ,890000 ,231293 
2011-05-18,893000 ,899000 ,886000 ,893000 ,893000 ,331824 
2011-05-19,891000 ,898000 ,880000 ,880000 ,880000 ,387733 
2011-05-20,885000 ,887000 ,880000 ,882000 ,882000 ,221517 
2011-05-23,877000 ,885000 ,872000 ,873000 ,873000 ,282045 
2011-05-24,872000 ,884000 ,865000 ,865000 ,865000 ,290181 
2011-05-25,879000 ,879000 ,853000 ,856000 ,856000 ,320945 
2011-05-26,868000 ,880000 ,865000 ,879000 ,879000 ,279740 
2011-05-27,874000 ,899000 ,867000 ,891000 ,891000 ,430296 
2011-05-30,895000 ,895000 ,876000 ,884000 ,884000 ,205979 
2011-05-31,890000 ,914000 ,886000 ,902000 ,902000 ,478089 
2011-06-01,902000 ,912000 ,895000 ,911000 ,911000 ,313832 
2011-06-02,894000 ,897000 ,880000 ,883000 ,883000 ,331899 
2011-06-03,890000 ,890000 ,877000 ,885000 ,885000 ,201472 
2011-06-06,890000 ,890000 ,877000 ,885000 ,885000 ,201472 
2011-06-07,876000 ,889000 ,869000 ,887000 ,887000 ,303586 
2011-06-08,885000 ,890000 ,875000 ,877000 ,877000 ,258873 
2011-06-09,877000 ,879000 ,865000 ,865000 ,865000 ,434119 
2011-06-10,870000 ,874000 ,851000 ,851000 ,851000 ,392575 
2011-06-13,844000 ,853000 ,838000 ,853000 ,853000 ,301387 
2011-06-14,851000 ,873000 ,848000 ,863000 ,863000 ,213419 
2011-06-15,866000 ,869000 ,851000 ,865000 ,865000 ,265758 
2011-06-16,853000 ,858000 ,844000 ,848000 ,848000 ,239116 
2011-06-17,851000 ,852000 ,803000 ,819000 ,819000 ,723027 
2011-06-20,813000 ,814000 ,795000 ,800000 ,800000 ,472386 
2011-06-21,800000 ,820000 ,798000 ,814000 ,814000 ,378374 
2011-06-22,824000 ,833000 ,822000 ,826000 ,826000 ,330821 
2011-06-23,825000 ,839000 ,820000 ,831000 ,831000 ,277391 
2011-06-24,821000 ,854000 ,821000 ,852000 ,852000 ,469223 
2011-06-27,847000 ,847000 ,828000 ,835000 ,835000 ,304257 
2011-06-28,840000 ,853000 ,831000 ,832000 ,832000 ,239178 
2011-06-29,848000 ,849000 ,832000 ,833000 ,833000 ,207146 
2011-06-30,833000 ,835000 ,821000 ,826000 ,826000 ,328339 
2011-07-01,843000 ,860000 ,838000 ,855000 ,855000 ,442918 
2011-07-04,870000 ,883000 ,869000 ,878000 ,878000 ,429433 
2011-07-05,880000 ,899000 ,878000 ,899000 ,899000 ,422262 
2011-07-06,893000 ,898000 ,887000 ,898000 ,898000 ,224722 
2011-07-07,898000 ,898000 ,879000 ,880000 ,880000 ,358557 
2011-07-08,880000 ,888000 ,873000 ,885000 ,885000 ,241809 
2011-07-11,880000 ,880000 ,862000 ,865000 ,865000 ,320019 
2011-07-12,860000 ,861000 ,846000 ,850000 ,850000 ,248144 
2011-07-13,848000 ,855000 ,836000 ,843000 ,843000 ,329357 
2011-07-14,835000 ,835000 ,823000 ,831000 ,831000 ,407918 
2011-07-15,830000 ,840000 ,821000 ,832000 ,832000 ,273509 
2011-07-18,828000 ,830000 ,811000 ,813000 ,813000 ,364738 
2011-07-19,806000 ,827000 ,806000 ,822000 ,822000 ,291167 
2011-07-20,840000 ,854000 ,839000 ,851000 ,851000 ,421882 
2011-07-21,846000 ,851000 ,832000 ,842000 ,842000 ,206937 
2011-07-22,850000 ,856000 ,842000 ,850000 ,850000 ,244517 
2011-07-25,850000 ,850000 ,834000 ,847000 ,847000 ,190025 
2011-07-26,843000 ,851000 ,840000 ,850000 ,850000 ,225408 
2011-07-27,848000 ,848000 ,836000 ,845000 ,845000 ,201993 
2011-07-28,828000 ,840000 ,826000 ,837000 ,837000 ,272890 
2011-07-29,846000 ,852000 ,837000 ,844000 ,844000 ,302016 
2011-08-01,855000 ,875000 ,855000 ,870000 ,870000 ,389024 
2011-08-02,853000 ,859000 ,850000 ,852000 ,852000 ,269816 
2011-08-03,840000 ,844000 ,824000 ,833000 ,833000 ,408465 
2011-08-04,839000 ,839000 ,815000 ,821000 ,821000 ,346496 
2011-08-05,792000 ,805000 ,789000 ,789000 ,789000 ,609081 
2011-08-08,770000 ,789000 ,760000 ,760000 ,760000 ,607518 
2011-08-09,750000 ,753000 ,696000 ,724000 ,724000 ,990040 
2011-08-10,760000 ,760000 ,720000 ,720000 ,720000 ,986557 
