Date,Open,High,Low,Close,Volume,Adjusted
2013-05-15,1485000 ,1500000 ,1484000 ,1500000 ,211896 ,1500000 
2013-05-16,1501000 ,1514000 ,1500000 ,1508000 ,293151 ,1508000 
2013-05-17,1501000 ,1514000 ,1500000 ,1508000 ,293151 ,1508000 
2013-05-20,1502000 ,1512000 ,1496000 ,1497000 ,245777 ,1497000 
2013-05-21,1510000 ,1510000 ,1485000 ,1492000 ,232008 ,1492000 
2013-05-22,1504000 ,1510000 ,1491000 ,1509000 ,198462 ,1509000 
2013-05-23,1492000 ,1502000 ,1484000 ,1484000 ,239883 ,1484000 
2013-05-24,1487000 ,1494000 ,1472000 ,1486000 ,203812 ,1486000 
2013-05-27,1490000 ,1499000 ,1487000 ,1489000 ,122928 ,1489000 
2013-05-28,1481000 ,1496000 ,1481000 ,1484000 ,231761 ,1484000 
2013-05-29,1484000 ,1523000 ,1483000 ,1512000 ,295211 ,1512000 
2013-05-30,1518000 ,1549000 ,1512000 ,1544000 ,455560 ,1544000 
2013-05-31,1546000 ,1559000 ,1537000 ,1538000 ,360501 ,1538000 
2013-06-03,1536000 ,1559000 ,1528000 ,1532000 ,206189 ,1532000 
2013-06-04,1533000 ,1542000 ,1521000 ,1540000 ,169932 ,1540000 
2013-06-05,1549000 ,1553000 ,1521000 ,1521000 ,271813 ,1521000 
2013-06-06,1549000 ,1553000 ,1521000 ,1521000 ,271813 ,1521000 
2013-06-07,1475000 ,1485000 ,1424000 ,1427000 ,1085816 ,1427000 
2013-06-10,1420000 ,1443000 ,1414000 ,1425000 ,533554 ,1425000 
2013-06-11,1411000 ,1419000 ,1378000 ,1389000 ,692260 ,1389000 
2013-06-12,1378000 ,1403000 ,1362000 ,1385000 ,457753 ,1385000 
2013-06-13,1380000 ,1397000 ,1357000 ,1357000 ,670197 ,1357000 
2013-06-14,1365000 ,1377000 ,1357000 ,1369000 ,351167 ,1369000 
2013-06-17,1370000 ,1378000 ,1365000 ,1366000 ,235169 ,1366000 
2013-06-18,1368000 ,1387000 ,1360000 ,1387000 ,220861 ,1387000 
2013-06-19,1382000 ,1385000 ,1364000 ,1369000 ,205405 ,1369000 
2013-06-20,1343000 ,1348000 ,1326000 ,1329000 ,356359 ,1329000 
2013-06-21,1294000 ,1333000 ,1290000 ,1325000 ,553556 ,1325000 
2013-06-24,1350000 ,1350000 ,1313000 ,1313000 ,316958 ,1313000 
2013-06-25,1301000 ,1318000 ,1288000 ,1297000 ,415499 ,1297000 
2013-06-26,1301000 ,1305000 ,1245000 ,1261000 ,635024 ,1261000 
2013-06-27,1295000 ,1344000 ,1286000 ,1339000 ,515123 ,1339000 
2013-06-28,1350000 ,1350000 ,1329000 ,1342000 ,419225 ,1342000 
2013-07-01,1334000 ,1346000 ,1322000 ,1326000 ,256519 ,1326000 
2013-07-02,1340000 ,1352000 ,1330000 ,1335000 ,204289 ,1335000 
2013-07-03,1334000 ,1339000 ,1295000 ,1301000 ,256441 ,1301000 
2013-07-04,1302000 ,1317000 ,1296000 ,1317000 ,180853 ,1317000 
2013-07-05,1286000 ,1315000 ,1260000 ,1267000 ,607656 ,1267000 
2013-07-08,1250000 ,1258000 ,1209000 ,1226000 ,529603 ,1226000 
2013-07-09,1230000 ,1250000 ,1229000 ,1237000 ,393899 ,1237000 
2013-07-10,1245000 ,1252000 ,1237000 ,1248000 ,346113 ,1248000 
2013-07-11,1251000 ,1312000 ,1251000 ,1312000 ,415767 ,1312000 
2013-07-12,1320000 ,1324000 ,1301000 ,1312000 ,227826 ,1312000 
2013-07-15,1315000 ,1319000 ,1285000 ,1313000 ,192592 ,1313000 
2013-07-16,1318000 ,1321000 ,1290000 ,1298000 ,186019 ,1298000 
2013-07-17,1301000 ,1330000 ,1286000 ,1320000 ,246046 ,1320000 
2013-07-18,1325000 ,1325000 ,1292000 ,1292000 ,314084 ,1292000 
2013-07-19,1288000 ,1295000 ,1264000 ,1273000 ,325426 ,1273000 
2013-07-22,1280000 ,1289000 ,1265000 ,1273000 ,207023 ,1273000 
2013-07-23,1273000 ,1307000 ,1272000 ,1307000 ,238978 ,1307000 
2013-07-24,1307000 ,1317000 ,1295000 ,1315000 ,175453 ,1315000 
2013-07-25,1317000 ,1322000 ,1308000 ,1315000 ,169913 ,1315000 
2013-07-26,1314000 ,1319000 ,1299000 ,1303000 ,272391 ,1303000 
2013-07-29,1291000 ,1300000 ,1279000 ,1283000 ,236437 ,1283000 
2013-07-30,1277000 ,1295000 ,1277000 ,1290000 ,188507 ,1290000 
2013-07-31,1280000 ,1290000 ,1279000 ,1280000 ,254710 ,1280000 
2013-08-01,1285000 ,1288000 ,1274000 ,1280000 ,181178 ,1280000 
2013-08-02,1293000 ,1300000 ,1282000 ,1286000 ,224827 ,1286000 
2013-08-05,1283000 ,1283000 ,1274000 ,1274000 ,161597 ,1274000 
2013-08-06,1245000 ,1272000 ,1245000 ,1254000 ,289874 ,1254000 
2013-08-07,1237000 ,1240000 ,1222000 ,1222000 ,315562 ,1222000 
2013-08-08,1213000 ,1235000 ,1213000 ,1217000 ,358216 ,1217000 
